,Product,Instant_Liking,q1_1_personal_opinion_of_this_Deodorant,q2_all_words,q3_1_strength_of_the_Deodorant,q4_1_artificial_chemical,q4_2_attractive,q4_3_bold,q4_4_boring,q4_5_casual,q4_6_cheap,q4_7_clean,q4_8_easy_to_wear,q4_9_elegant,typ
0,Deodorant B,1,4,1,4,2,5,4,2,3,5,5,5,4,0.0
1,Deodorant B,0,5,1,4,4,2,2,1,3,2,4,4,4,0.0
2,Deodorant B,0,6,1,3,2,5,2,4,2,4,3,5,4,0.0
3,Deodorant B,1,4,0,4,5,5,4,3,5,2,5,3,5,0.0
4,Deodorant B,1,4,1,2,1,3,1,1,3,3,5,3,5,0.0
5,Deodorant B,0,5,1,5,5,5,2,1,4,5,5,2,4,0.0
6,Deodorant B,0,7,0,2,3,2,3,2,4,2,4,4,5,0.0
7,Deodorant B,0,5,2,3,1,4,3,1,1,1,5,2,3,0.0
8,Deodorant B,0,6,0,3,2,5,3,4,5,3,3,4,2,0.0
9,Deodorant B,1,4,1,3,2,5,4,1,2,1,4,3,5,0.0
10,Deodorant B,0,6,0,3,1,3,4,1,5,3,3,4,2,0.0
11,Deodorant B,0,5,1,5,4,4,4,2,2,2,4,2,4,0.0
12,Deodorant B,0,5,1,4,5,3,2,2,5,1,3,5,5,0.0
13,Deodorant B,1,3,0,3,1,3,4,1,1,2,5,5,4,0.0
14,Deodorant B,1,1,1,3,3,5,4,5,4,1,4,5,5,0.0
15,Deodorant B,0,6,0,2,4,4,3,5,4,2,4,2,4,0.0
16,Deodorant B,0,7,1,3,5,2,5,1,2,1,3,2,4,0.0
17,Deodorant B,1,4,0,4,3,4,4,2,4,2,2,5,5,0.0
18,Deodorant B,0,6,2,3,4,5,4,5,3,5,5,4,3,0.0
19,Deodorant B,0,7,2,3,2,4,4,1,3,4,4,2,4,0.0
20,Deodorant B,0,7,2,3,5,3,5,1,5,2,5,4,3,0.0
21,Deodorant B,0,6,0,3,1,5,4,2,2,1,3,5,4,0.0
22,Deodorant B,1,4,1,3,4,5,2,2,2,2,5,5,4,0.0
23,Deodorant B,0,6,0,2,2,3,3,2,4,2,4,4,2,0.0
24,Deodorant B,0,5,0,3,4,5,4,1,5,1,5,4,4,0.0
25,Deodorant B,1,3,0,3,5,4,4,1,3,2,4,4,4,0.0
26,Deodorant B,0,5,0,3,3,4,2,2,5,3,4,3,2,0.0
27,Deodorant B,0,5,1,3,1,1,4,2,3,4,5,1,4,0.0
28,Deodorant B,0,5,1,3,3,3,5,2,3,3,5,3,2,0.0
29,Deodorant B,0,7,2,3,2,3,5,2,2,4,5,5,5,0.0
30,Deodorant B,0,7,1,3,3,1,1,2,4,5,3,3,4,0.0
31,Deodorant B,0,5,1,3,3,2,2,3,5,5,2,5,4,0.0
32,Deodorant B,1,1,1,3,1,3,5,2,5,4,2,3,4,0.0
33,Deodorant B,0,5,3,3,4,4,2,2,5,2,4,5,4,0.0
34,Deodorant B,1,1,2,4,1,2,3,1,5,5,4,3,5,0.0
35,Deodorant B,0,6,3,3,4,3,3,2,2,2,5,5,5,0.0
36,Deodorant B,0,5,0,4,2,3,3,3,5,2,4,5,2,0.0
37,Deodorant B,1,2,1,3,1,3,3,1,4,2,3,1,4,0.0
38,Deodorant B,0,6,0,3,2,5,5,2,5,2,4,5,4,0.0
39,Deodorant B,0,5,4,3,1,4,5,2,4,1,4,3,5,0.0
40,Deodorant B,0,6,1,4,4,4,5,5,4,2,1,5,5,0.0
41,Deodorant B,0,5,3,3,4,5,5,2,5,5,2,2,4,0.0
42,Deodorant B,1,4,3,4,2,5,4,1,3,4,4,1,4,0.0
43,Deodorant B,0,6,1,3,4,4,4,1,5,1,5,5,4,0.0
44,Deodorant B,0,5,1,3,1,2,2,5,5,5,5,4,4,0.0
45,Deodorant B,1,4,1,4,4,4,4,2,5,4,2,5,2,0.0
46,Deodorant B,1,4,2,4,2,5,2,2,4,2,4,2,3,0.0
47,Deodorant B,1,4,0,1,1,5,1,4,2,2,4,5,2,0.0
48,Deodorant B,1,2,1,3,1,3,3,3,3,1,5,1,4,0.0
49,Deodorant B,0,6,0,4,3,3,4,1,4,4,4,5,4,0.0
50,Deodorant B,0,5,0,4,3,4,3,1,1,4,5,5,5,0.0
51,Deodorant B,0,6,0,3,3,3,4,1,4,3,4,4,4,0.0
52,Deodorant B,0,6,1,3,1,2,1,1,1,1,2,4,3,0.0
53,Deodorant B,1,4,1,5,2,5,4,1,2,5,2,3,4,0.0
54,Deodorant B,1,4,0,5,4,5,3,1,4,5,5,5,4,0.0
55,Deodorant B,0,6,1,3,5,4,5,2,2,1,5,2,1,0.0
56,Deodorant B,0,7,2,3,3,4,4,3,3,3,1,4,5,0.0
57,Deodorant B,0,6,1,4,1,1,4,1,1,2,3,3,2,0.0
58,Deodorant B,0,5,2,3,1,4,5,1,4,1,3,5,3,0.0
59,Deodorant B,1,3,2,3,4,4,4,2,1,4,3,5,1,0.0
60,Deodorant B,1,4,0,3,1,5,3,4,5,1,4,5,2,0.0
61,Deodorant B,0,6,2,3,1,4,2,1,3,1,4,3,5,0.0
62,Deodorant B,0,5,1,4,1,5,3,1,4,4,4,1,4,0.0
63,Deodorant B,1,3,2,3,4,1,1,4,4,1,3,5,5,0.0
64,Deodorant B,0,7,0,3,2,4,3,1,2,2,3,4,4,0.0
65,Deodorant B,0,7,1,3,5,5,5,2,4,2,3,4,5,0.0
66,Deodorant B,0,5,2,4,2,5,4,2,3,1,4,4,5,0.0
67,Deodorant B,0,5,3,3,1,2,4,4,5,1,4,4,5,0.0
68,Deodorant B,1,4,0,3,2,4,5,1,3,3,5,4,5,0.0
69,Deodorant B,0,6,0,4,3,5,3,2,4,1,4,4,3,0.0
70,Deodorant B,0,6,3,4,1,4,3,3,3,4,5,4,2,0.0
71,Deodorant B,0,6,0,4,1,5,4,1,5,2,2,4,3,0.0
72,Deodorant B,1,2,0,4,1,5,3,1,3,1,4,4,4,0.0
73,Deodorant B,0,5,1,3,1,5,5,3,5,2,4,4,3,0.0
74,Deodorant B,0,5,0,3,1,5,4,3,5,4,3,5,5,0.0
75,Deodorant B,0,5,1,3,2,3,2,1,3,5,5,2,4,0.0
76,Deodorant B,0,5,4,3,5,3,5,4,5,5,3,5,5,0.0
77,Deodorant B,1,1,1,3,1,4,4,5,4,1,5,5,5,0.0
78,Deodorant B,0,6,0,2,4,4,4,2,1,2,5,1,5,0.0
79,Deodorant B,1,4,1,3,3,4,2,2,2,3,4,5,5,0.0
80,Deodorant B,0,6,2,2,1,4,4,1,5,1,3,3,5,0.0
81,Deodorant B,1,4,2,3,3,5,2,1,4,3,5,2,4,0.0
82,Deodorant B,0,7,2,3,1,3,5,1,3,3,3,5,5,0.0
83,Deodorant B,1,3,2,4,1,3,5,2,4,1,1,5,2,0.0
84,Deodorant B,1,4,2,3,2,4,2,2,5,3,1,4,5,0.0
85,Deodorant B,1,4,1,3,4,4,1,2,4,1,5,4,2,0.0
86,Deodorant B,1,4,1,3,2,5,3,1,2,1,5,5,4,0.0
87,Deodorant B,0,5,1,3,2,4,4,2,4,2,5,5,1,0.0
88,Deodorant B,0,5,3,3,3,5,1,1,3,2,2,5,2,0.0
89,Deodorant B,0,5,0,3,5,4,2,1,5,1,5,3,5,0.0
90,Deodorant B,0,7,1,4,1,5,4,3,4,5,5,5,3,0.0
91,Deodorant B,0,6,4,3,2,4,5,1,5,5,2,5,5,0.0
92,Deodorant B,1,4,0,3,4,2,4,5,3,2,5,3,4,0.0
93,Deodorant B,0,7,1,3,4,3,1,4,5,4,5,5,4,0.0
94,Deodorant B,0,6,1,5,2,5,5,1,4,2,5,5,2,0.0
95,Deodorant B,1,1,2,3,1,1,4,1,4,1,5,5,5,0.0
96,Deodorant B,1,4,1,4,4,4,3,3,4,1,4,1,5,0.0
97,Deodorant B,0,5,0,3,2,2,4,3,5,1,2,3,5,0.0
98,Deodorant B,0,7,3,4,4,4,5,2,3,2,4,5,2,0.0
99,Deodorant B,1,4,1,3,5,2,4,1,3,2,5,5,5,0.0
100,Deodorant B,0,5,0,4,2,2,5,1,2,1,4,4,2,0.0
101,Deodorant B,1,2,2,3,4,5,5,3,4,2,3,5,4,0.0
102,Deodorant B,0,6,3,3,3,5,4,2,3,2,4,2,3,0.0
103,Deodorant B,1,4,2,3,2,4,1,2,3,2,5,2,4,0.0
104,Deodorant B,1,3,0,3,1,4,3,1,2,1,4,1,3,0.0
105,Deodorant B,0,6,2,5,3,5,5,5,2,2,5,4,5,0.0
106,Deodorant B,0,7,0,3,1,4,1,1,4,5,5,4,4,0.0
107,Deodorant B,1,2,0,3,2,5,2,3,2,1,5,5,2,0.0
108,Deodorant B,0,7,2,3,3,5,1,1,3,4,3,5,4,0.0
109,Deodorant B,0,6,1,3,4,3,3,1,3,1,3,4,4,0.0
